name;ingredients;nutrients.energy;nutrients.proteins;nutrients.carbohydrates;nutrients.lipids;nutrients.sugar;nutrients.dietaryFiber;nutrients.calcium;nutrients.iron;nutrients.magnesium;nutrients.zinc;nutrients.vitaminD;nutrients.vitaminE;nutrients.vitaminK1;nutrients.vitaminK2;nutrients.vitaminC;nutrients.vitaminB1;nutrients.vitaminB2;nutrients.vitaminB3;nutrients.vitaminB5;nutrients.vitaminB6;nutrients.vitaminB9;nutrients.vitaminB12;nutrients.starch;nutrients.saturatedFattyAcid;nutrients.monounsaturatedFattyAcid;nutrients.sodiumChlorideSalt;nutrients.potassium;nutrients.sodium;nutrients.solenium;image;weight;description;type;price
Croque-madame;;264;13,7;16,9;15,5;1,37;1,13;20;1,27;19,5;1,1;0,6;0,78;-;-;0,014;0,17;0,22;1,19;0,48;0,035;17,4;0,55;14,9;7,42;5,19;1,29;154;515;10,9;;;;;
Sandwich baguette (aliment moyen);;277;11,2;31,4;11,6;2,46;2,38;;;;;;;;;;;;;;;;;;4,45;3,72;1,54;;615;;;;;;
Sandwich pain de mie, garnitures diverses, préemballé;;267;11,7;25,1;12,4;3,42;3,83;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4,96;3,85;1,17;-;463;-;;;;;
Croque-monsieur, préemballé;;273;11,3;26,8;12,9;2,14;2,45;251;01;21,5;1,6;0,7;0,6;-;-;1,7;0,15;0,15;0,64;0,37;0,05;23,1;0,39;3,9;6,5;4,21;1,57;189;595;5,8;;;;;
Sandwich pain de mie complet, jambon, crudités, fromage optionnel, préemballé;;243;10;23,1;11,6;2,43;3,06;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2,86;-;1,42;-;557;-;;;;;
Sandwich pain de mie complet, thon, crudités, mayonnaise, préemballé;;240;9,82;23,1;11,3;2,49;3,46;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1,3;-;1,08;-;432;-;;;;;
Sandwich pain de mie complet, jambon, fromage, préemballé;;292;12,9;26,1;14,6;7,75;2;205;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6,45;-;1,33;-;525;-;;;;;
Sandwich pain de mie complet, poulet, crudités, mayonnaise, préemballé;;232;9,18;23,7;10,4;2,61;3,63;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2,48;-;1,3;-;517;-;;;;;
Cake salé (garniture : fromage, légumes, viande, poisson, volaille, etc.), préemballé;;321;11,6;25,6;18,4;2,68;2,3;170;1,3;16,1;1,4;-;-;-;-;-;-;-;-;-;-;-;-;22,9;4,68;8,05;1,64;165;657;-;;;;;
Spécialité chinoise type bouchée à la vapeur, préemballée, cuite;;149;5,9;28;1,4;3,9;0,21;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;0,31;0,75;1,26;-;540;-;;;;;
Feuilleté aux escargots, préemballé;;321;6,69;23,1;22,1;1,09;1,74;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;13,2;-;1,17;-;491;-;;;;;
Feuilleté ou Friand au fromage;;302;8,25;28,1;17,1;3,86;1,3;119;1,4;14,9;0,54;0,82;1,38;-;-;0,3;0,07;0,14;0,63;0,25;0,06;7;0,5;24,2;10,2;4,7;1,58;139;632;1,4;;;;;
Feuilleté ou Friand à la viande, préemballé;;348;9,59;25,9;22,6;1,17;1,63;15,6;1,65;18,6;1,49;-;-;-;-;-;-;-;-;-;-;-;-;24,7;10,6;8,92;1,55;199;610;5,63;;;;;
Bouchée à la reine, à la viande/volaille/quenelle;;292;6,12;23,5;18,9;2,6;1,65;40;0,42;12;0,54;0,25;1,29;3,14;-;0,5;0,09;0,087;0,79;0,39;0,044;7,4;0,19;18,2;9,66;6,21;1,27;170;498;020;;;;;
