name;description;ingredients;nutrients.energy;nutrients.proteins;nutrients.carbohydrates;nutrients.lipids;nutrients.sugar;nutrients.dietaryFiber;nutrients.calcium;nutrients.iron;nutrients.magnesium;nutrients.zinc;nutrients.vitaminD;nutrients.vitaminE;nutrients.vitaminK1;nutrients.vitaminK2;nutrients.vitaminC;nutrients.vitaminB1;nutrients.vitaminB2;nutrients.vitaminB3;nutrients.vitaminB5;nutrients.vitaminB6;nutrients.vitaminB9;nutrients.vitaminB12;nutrients.starch;nutrients.saturatedFattyAcid;nutrients.monounsaturatedFattyAcid;nutrients.sodiumChlorideSalt;nutrients.potassium;nutrients.sodium;nutrients.solenium;image;weight;description;price;
Boisson gazeuse, sans jus de fruit, sucrée;;;37,1;0,14;8,67;0,078;8,67;0;11,5;0,12;1;0,032;0;0;0;-;0;0;0;0;0;0;0;0;0;0;0;0,091;3,5;36,4;0,029;;;;;
Boisson à l'eau minérale ou de source, aromatisée, non sucrée, sans édulcorant;;;-;0,06;0,14;0;0;0;-;-;5;-;-;-;-;-;-;-;-;-;-;-;-;-;-;0;-;0,019;3;7,17;-;;;;;
Boisson rafraîchissante sans alcool (aliment moyen);;;;0,11;7,42;0,042;7,26;0,025;6,22;0,066;2,5;0,02;0,0099;0,0092;;;1,78;0,0034;0,0081;0,047;0,018;0,0085;1,3;0,0054;0,00025;0,0074;0,0032;0,028;11,3;11,3;1,21;;;;;
Boisson à l'eau minérale ou de source, aromatisée, non sucrée, avec édulcorants;;;-;0,086;0,28;0,086;traces;0,067;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;traces;-;0,012;-;4,67;-;;;;;
Boisson gazeuse aux fruits (à moins de 10% de jus), sucrée, avec édulcorants;;;-;traces;7;traces;7;0;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;traces;-;0,0075;-;3;-;;;;;
Boisson gazeuse aux fruits (de 10 à 50% de jus), sucrée, avec édulcorants;;;-;0,067;3,83;0;3,64;0;-;-;-;-;-;-;-;-;12;-;-;-;-;-;-;-;-;0;-;0,058;-;23,4;-;;;;;
Limonade, non sucrée, avec édulcorants;;;-;0,067;0,1;0;0,082;0;0;0;0;0;0;0;-;-;0;0;0;0;0;0;0;0;0;0;0;0,022;0;8,56;0;;;;;
Cola, sucré, avec édulcorants;;;-;0,0093;6,65;0,0033;6,65;0,0033;0;0;0;0;0;0;-;-;0;0;0;0;0;0;0;0;0;traces;0;0,011;10;4,2;0;;;;;
Diabolo (limonade et sirop);;;-;0,075;10,6;traces;10,6;0,069;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;traces;-;0,021;-;8,5;-;;;;;
Boisson gazeuse aux fruits (teneur en jus non spécifiée), sucrée (aliment moyen);;;46,6;0,068;11,2;0,03;9,91;0,00043;4,63;0,025;2,61;0,014;0;0;;;0;0;0;0;0;0;0;0;0;0;0;0,032;26,5;13,2;5;;;;;
Boisson gazeuse aux fruits (à moins de 10% de jus), sucrée;;;-;0,081;9,97;0,051;9,74;0,005;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;traces;-;0,025;-;9,73;-;;;;;
Boisson gazeuse aux fruits (de 10 à 50% de jus), non sucrée, avec édulcorants;;;-;0,073;1,39;0,014;1,26;traces;6,37;-;1,99;-;-;-;-;-;3,89;0,01;-;0,03;-;0,04;-;0;0;0;0;0,017;63,7;6,28;-;;;;;
"Boisson préparée à partir de boisson concentrée à diluer, non sucrée, avec édulcorants, type ""sirop 0%"", diluée dans l'eau";;;-;0,5;2,42;0;0,83;0;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;0,074;61,3;29,7;-;;;;;
Boisson préparée à partir de sirop à diluer type menthe, fraise, etc, sucré, dilué dans l'eau;;;-;0,055;7,7;0;7,7;0;7,55;0,025;2,71;0,01;0;0;-;-;1,3;0,001;0,0011;0,0071;0,0033;0,0025;1,51;0;0;0;0;0,012;5,06;4,94;traces;;;;;
Cola, non sucré, avec édulcorants;;;1,3;0,081;0,11;0,053;0,11;0,003;2,26;0,065;2,38;0,016;0;0;0;-;0;0,005;0,023;0;0;0;0;0;0;0;0;0,024;6;9,88;0 2,2;;;;;
Boisson au thé, aromatisée, teneur en sucre et édulcorant inconnue (aliment moyen);;;27,3;0,028;6,11;0,0092;5,9;0;1,8;0,0089;1,31;0,013;0;0;;;0;0;0;0;0;0;0;0;0;0;0;0,061;11,6;24,5;4,5;;;;;
Cola, teneur en sucre et édulcorant inconnue (aliment moyen);;;30,7;0,089;7,45;0,059;7,41;0,00084;2;0,097;2,4;0,0081;0;0;0;;0;0,0014;0,0062;0;0;0;0;0;0;0;0;0,019;3,14;7,55;1,09;;;;;
Boisson au thé, aromatisée, à teneur réduite en sucres;;;-;0;-;0;-;0;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;0;-;0;-;-;-;-;;;;;
Boisson au thé, aromatisée, non sucrée, avec édulcorants;;;-;0,014;0,34;0;0,32;0;0;0;2,3;0;0;0;-;-;0;0;0;0;0;0;0;0;0;0;0;0,099;0;40,3;0;;;;;
Cola, sucré, sans caféine;;;43,8;traces;11;traces;11;0;2;0,02;0;0,01;0;0;0;-;0;0;0;0;0;0;0;0;0;0;0;0,025;3;10;-;;;;;
Cola, non sucré, avec édulcorants, sans caféine;;;0,87;0;0,2;0;0,2;0;3;0,02;0;0,01;0;0;0;-;0;0,005;0,023;0;0;0;0;0;-;0;0;0,018;7;7;-;;;;;
Boisson au thé, aromatisée, sucrée;;;27,3;0,033;6,76;0,022;6,52;0;2;0,0099;1,2;0,015;0;0;-;-;0;0;0;0;0;0;0;0;0;0;0;0,058;12,9;22,8;0 10;;;;;
Boisson gazeuse, sans jus de fruit, sucrée, avec édulcorants;;;-;0;6,8;0;6,8;0;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;0;-;0;-;0;-;;;;;
Boisson plate aux fruits (10 à 50% de jus), à teneur réduite en sucres;;;-;0,014;5,16;0,01;5,06;0;0;0;0;0;0;0;-;-;0;0;0;0;0;0;0;0;0;0;0;0,019;1,6;7,45;0;;;;;
Boisson plate aux fruits (teneur en jus non spécifiée), sucrée;;;-;0,1;11,2;0,07;10,6;0;13;0,1;4,6;0,06;0;0;-;-;4,33;0,043;0,01;0,9;traces;0,055;10;0;0;0;0;0,0018;48;0,7;0;;;;;
